NumStores,MicrosecondsPerIteration
0,0.0378661

1,0.0391474

2,0.0382956

3,0.0387568

4,0.0388511

5,0.0395225

6,0.0395245

7,0.0397649

8,0.0394925

9,0.0390175

10,0.0399326

11,0.0398405

12,0.0401542

13,0.039678

14,0.0395946

15,0.0393997

16,0.0404998

17,0.0407624

18,0.0403079

19,0.0402973

20,0.0409295

21,0.0414317

22,0.0404268

23,0.0410521

24,0.0406479

25,0.0410647

26,0.040622

27,0.0409363

28,0.0410149

29,0.0411707

30,0.0419483

31,0.0412298

32,0.041426

33,0.0417489

34,0.0410952

35,0.041316

36,0.0420314

37,0.0428412

38,0.0415277

39,0.041732

40,0.0420554

41,0.0421657

42,0.0420107

43,0.049368

44,0.0489711

45,0.0491807

46,0.0499602

47,0.0493292

48,0.0507926

49,0.0519503

50,0.0514491

51,0.0516362

52,0.0521535

53,0.0537531

54,0.0521666

55,0.0531419

56,0.0525789

57,0.0533589

58,0.0539507

59,0.0535564

60,0.054274

61,0.055031

62,0.0550465

63,0.0565906

64,0.0567293

65,0.0564576

66,0.0575366

67,0.0567632

68,0.0569241

69,0.0582223

70,0.0584201

71,0.0578271

72,0.0579049

73,0.0584387

74,0.0587922

75,0.0587416

76,0.059396

77,0.060482

78,0.0602488

79,0.0601838

